row_id,service_year,county_code,county_name,payer,age_group_code,age_group_name,sex,unique_member_cnt,util_category,util_cnt,encounter_count,member_months,total_paid_amt_sum,total_paid_amt_mean,total_paid_amt_med,insurer_paid_amt_sum,insurer_paid_amt_mean,insurer_paid_amt_med,member_paid_amt_sum,member_paid_amt_mean,member_paid_amt_med
217818,2019,109,Olmsted,MINNESOTA HEALTH CARE PROGRAMS,4,65 - 74 years,F,61,Ambulance,"1,959",556,685,"$36,742.29 ",$66.08 ,$61.28 ,"$36,742.29 ",$66.08 ,$61.28 ,$0.00 ,$0.00 ,$0.00 
218658,2019,113,Pennington,MEDICARE,3,45 - 64 years,F,53,Emergency department,682,167,604,"$39,108.06 ",$234.18 ,$125.57 ,"$32,605.91 ",$195.24 ,$99.85 ,"$6,502.15 ",$38.94 ,$18.33 
219738,2019,119,Polk,MEDICARE,3,45 - 64 years,F,184,Emergency department,"1,399",493,"2,168","$71,854.46 ",$145.75 ,$85.58 ,"$58,890.08 ",$119.45 ,$59.35 ,"$12,964.38 ",$26.30 ,$10.35 
220506,2019,123,Ramsey,MEDICARE,2,19 - 44 years,F,49,Home Health,"1,014",182,566,"$145,250.93 ",$798.08 ,$0.00 ,"$145,250.93 ",$798.08 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
197922,2019,1,Aitkin,COMMERCIAL,3,45 - 64 years,F,549,Hospital Outpatient,"13,406","2,985","6,334","$3,109,178.41 ","$1,041.60 ",$323.50 ,"$2,638,864.65 ",$884.04 ,$236.01 ,"$470,313.76 ",$157.56 ,$0.00 
198714,2019,5,Becker,COMMERCIAL,2,19 - 44 years,M,20,Ambulance,129,53,221,"$29,454.80 ",$555.75 ,$171.88 ,"$25,032.46 ",$472.31 ,$168.29 ,"$4,422.34 ",$83.44 ,$0.00 
199362,2019,7,Beltrami,MEDICARE,2,19 - 44 years,M,29,Hospital Inpatient,479,56,348,"$488,474.51 ","$8,722.76 ","$7,560.64 ","$412,090.51 ","$7,358.76 ","$6,507.49 ","$76,384.00 ","$1,364.00 ","$1,364.00 "
200202,2019,13,Blue Earth,COMMERCIAL,2,19 - 44 years,F,82,DME (Durable Medical Equipment),171,106,939,"$43,223.12 ",$407.77 ,$232.45 ,"$36,311.19 ",$342.56 ,$211.85 ,"$6,911.93 ",$65.21 ,$0.00 
201090,2019,17,Carlton,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,509,Emergency department,"1,993",842,"5,759","$227,441.77 ",$270.12 ,$249.90 ,"$227,441.77 ",$270.12 ,$249.90 ,$0.00 ,$0.00 ,$0.00 
201954,2019,21,Cass,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,22,Home Health,265,236,249,"$17,993.56 ",$76.24 ,$75.02 ,"$17,983.96 ",$76.20 ,$75.02 ,$9.60 ,$0.04 ,$0.00 
202770,2019,25,Chisago,MINNESOTA HEALTH CARE PROGRAMS,5,75 years and older,M,16,Clinic/Office,114,53,185,$425.41 ,$8.03 ,$0.00 ,$413.21 ,$7.80 ,$0.00 ,$12.20 ,$0.23 ,$0.00 
203634,2019,29,Clearwater,MEDICARE,5,75 years and older,F,393,Clinic/Office,"4,891","2,568","4,629","$412,236.58 ",$160.53 ,$159.30 ,"$337,276.98 ",$131.34 ,$121.90 ,"$74,959.60 ",$29.19 ,$20.00 
204498,2019,35,Crow Wing,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,182,Hospital Inpatient,"3,214",272,"2,029","$2,844,622.57 ","$10,458.17 ","$6,889.46 ","$2,824,786.17 ","$10,385.24 ","$6,847.78 ","$19,836.40 ",$72.93 ,$0.00 
205098,2019,37,Dakota,MEDICARE,4,65 - 74 years,M,"1,526",Ambulatory Surgery,"10,793","2,092","18,253","$3,170,804.86 ","$1,515.68 ","$1,032.48 ","$2,705,065.35 ","$1,293.05 ",$924.04 ,"$465,739.51 ",$222.63 ,$150.00 
206154,2019,43,Faribault,MEDICARE,4,65 - 74 years,F,105,DME (Durable Medical Equipment),658,450,"1,249","$47,916.92 ",$106.48 ,$51.86 ,"$36,517.25 ",$81.15 ,$41.32 ,"$11,399.67 ",$25.33 ,$10.54 
207234,2019,49,Goodhue,MEDICARE,3,45 - 64 years,F,534,Clinic/Office,"9,358","3,750","6,132","$726,380.57 ",$193.70 ,$91.64 ,"$619,838.51 ",$165.29 ,$72.34 ,"$106,542.06 ",$28.41 ,$14.83 
208074,2019,53,Hennepin,MEDICARE,4,65 - 74 years,M,"5,751",Independent Lab,"41,166","12,503","68,544","$1,353,364.37 ",$108.24 ,$34.19 ,"$1,315,692.82 ",$105.23 ,$32.12 ,"$37,671.55 ",$3.01 ,$0.00 
209082,2019,59,Isanti,MINNESOTA HEALTH CARE PROGRAMS,5,75 years and older,F,21,Clinic/Office,230,78,242,"$1,401.23 ",$17.96 ,$1.64 ,"$1,345.63 ",$17.25 ,$1.55 ,$55.60 ,$0.71 ,$0.00 
209778,2019,63,Jackson,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,64,Independent Lab,341,135,724,"$10,049.19 ",$74.44 ,$27.55 ,"$10,039.59 ",$74.37 ,$27.55 ,$9.60 ,$0.07 ,$0.00 
210690,2019,67,Kandiyohi,MEDICARE,5,75 years and older,F,348,Inpatient Non-acute,"8,303","2,519","3,935","$3,432,557.65 ","$1,362.67 ",$107.17 ,"$3,083,463.83 ","$1,224.08 ",$89.33 ,"$349,093.82 ",$138.58 ,$15.60 
211674,2019,75,Lake,COMMERCIAL,1,18 years and under,F,21,Emergency department,90,35,235,"$30,183.78 ",$862.39 ,$626.17 ,"$18,907.49 ",$540.21 ,$285.95 ,"$11,276.29 ",$322.18 ,$176.26 
212946,2019,81,Lincoln,MEDICARE,5,75 years and older,F,28,Hospice,"1,575",87,239,"$326,632.00 ","$3,754.39 ","$4,324.77 ","$326,632.00 ","$3,754.39 ","$4,324.77 ",$0.00 ,$0.00 ,$0.00 
213954,2019,87,Mahnomen,MEDICARE,3,45 - 64 years,F,18,Hospital Inpatient,690,35,212,"$579,815.74 ","$16,566.16 ","$9,649.41 ","$558,816.64 ","$15,966.19 ","$9,012.39 ","$20,999.10 ",$599.97 ,$100.78 
215058,2019,93,Meeker,MEDICARE,5,75 years and older,M,81,Ambulatory Surgery,491,127,972,"$193,227.06 ","$1,521.47 ","$1,431.47 ","$182,380.65 ","$1,436.07 ","$1,245.09 ","$10,846.41 ",$85.40 ,$50.00 
215874,2019,99,Mower,COMMERCIAL,1,18 years and under,M,209,Clinic/Office,"1,931",806,"2,400","$286,754.16 ",$355.77 ,$239.01 ,"$194,226.10 ",$240.98 ,$118.20 ,"$92,528.06 ",$114.80 ,$30.00 
216834,2019,103,Nicollet,MEDICARE,2,19 - 44 years,M,82,Clinic/Office,"2,248","1,062",984,"$145,965.18 ",$137.44 ,$108.40 ,"$111,840.21 ",$105.31 ,$79.70 ,"$34,124.97 ",$32.13 ,$21.71 
217794,2019,109,Olmsted,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,298,Hospital Inpatient Professional Services,"6,621","2,841","3,278","$451,744.12 ",$159.01 ,$58.91 ,"$451,680.12 ",$158.99 ,$58.91 ,$64.00 ,$0.02 ,$0.00 
218610,2019,113,Pennington,MINNESOTA HEALTH CARE PROGRAMS,5,75 years and older,F,11,Hospice,35,33,63,"$94,736.56 ","$2,870.80 ","$2,424.34 ","$94,736.56 ","$2,870.80 ","$2,424.34 ",$0.00 ,$0.00 ,$0.00 
219666,2019,119,Polk,MINNESOTA HEALTH CARE PROGRAMS,4,65 - 74 years,M,16,Ambulance,871,228,192,"$32,542.14 ",$142.73 ,$157.32 ,"$32,542.14 ",$142.73 ,$157.32 ,$0.00 ,$0.00 ,$0.00 
220482,2019,123,Ramsey,MINNESOTA HEALTH CARE PROGRAMS,5,75 years and older,M,99,Independent Lab,914,288,"1,137","$17,097.71 ",$59.37 ,$16.52 ,"$16,572.71 ",$57.54 ,$16.52 ,$525.00 ,$1.82 ,$0.00 
221538,2019,129,Renville,MEDICARE,4,65 - 74 years,F,244,Other,"2,611","1,523","2,896","$198,788.52 ",$130.52 ,$43.89 ,"$174,606.86 ",$114.65 ,$41.43 ,"$24,181.66 ",$15.88 ,$0.00 
222594,2019,135,Roseau,MEDICARE,4,65 - 74 years,F,30,Ambulance,154,55,331,"$136,435.42 ","$2,480.64 ",$780.17 ,"$114,020.05 ","$2,073.09 ",$622.20 ,"$22,415.37 ",$407.55 ,$140.20 
223242,2019,139,Scott,MINNESOTA HEALTH CARE PROGRAMS,1,18 years and under,M,"1,696",Emergency department,"6,794","2,959","19,025","$803,059.42 ",$271.40 ,$244.17 ,"$802,796.66 ",$271.31 ,$244.17 ,$262.76 ,$0.09 ,$0.00 
223962,2019,143,Sibley,COMMERCIAL,2,19 - 44 years,M,13,Hospital Inpatient,155,17,131,"$387,888.71 ","$22,816.98 ","$19,035.23 ","$368,703.55 ","$21,688.44 ","$19,035.23 ","$19,185.16 ","$1,128.54 ",$0.00 
224658,2019,145,Stearns,MEDICARE,4,65 - 74 years,F,"4,407",Hospital Outpatient,"114,533","23,322","52,578","$17,118,145.35 ",$733.99 ,$173.48 ,"$14,327,355.30 ",$614.33 ,$142.42 ,"$2,790,790.05 ",$119.66 ,$17.45 
225594,2019,151,Swift,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,163,Hospital Outpatient,"6,858","1,536","1,833","$741,671.81 ",$482.86 ,$153.95 ,"$740,271.63 ",$481.95 ,$153.95 ,"$1,400.18 ",$0.91 ,$0.00 
226986,2019,159,Wadena,MINNESOTA HEALTH CARE PROGRAMS,4,65 - 74 years,F,11,DME (Durable Medical Equipment),70,63,132,"$7,104.53 ",$112.77 ,$116.00 ,"$7,104.53 ",$112.77 ,$116.00 ,$0.00 ,$0.00 ,$0.00 
227730,2019,163,Washington,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,M,522,Outpatient Other,"19,722","16,210","5,526","$1,707,545.51 ",$105.34 ,$105.09 ,"$1,707,545.51 ",$105.34 ,$105.09 ,$0.00 ,$0.00 ,$0.00 
228594,2019,167,Wilkin,MEDICARE,5,75 years and older,F,71,DME (Durable Medical Equipment),559,369,833,"$39,375.41 ",$106.71 ,$48.59 ,"$31,434.46 ",$85.19 ,$34.90 ,"$7,940.95 ",$21.52 ,$9.94 
229290,2019,171,Wright,MEDICARE,2,19 - 44 years,F,27,Ambulance,123,45,314,"$34,460.62 ",$765.79 ,$634.38 ,"$28,793.21 ",$639.85 ,$505.44 ,"$5,667.41 ",$125.94 ,$114.36 
198017,2019,1,Aitkin,MINNESOTA HEALTH CARE PROGRAMS,2,19 - 44 years,F,68,Independent Lab,819,365,753,"$47,110.09 ",$129.07 ,$89.47 ,"$47,103.69 ",$129.05 ,$89.47 ,$6.40 ,$0.02 ,$0.00 
198665,2019,3,Anoka,MEDICARE,5,75 years and older,M,674,Ambulatory Surgery,"4,523",963,"8,052","$1,623,130.25 ","$1,685.49 ","$1,661.91 ","$1,399,246.59 ","$1,453.01 ","$1,391.83 ","$223,883.66 ",$232.49 ,$152.90 
199457,2019,7,Beltrami,MEDICARE,5,75 years and older,M,110,Inpatient Non-acute,"3,184",665,"1,176","$1,282,254.85 ","$1,928.20 ",$121.60 ,"$1,096,323.37 ","$1,648.61 ",$118.00 ,"$185,931.48 ",$279.60 ,$0.00 
200417,2019,13,Blue Earth,MINNESOTA HEALTH CARE PROGRAMS,4,65 - 74 years,F,109,Other,"22,237","15,412","1,292","$2,417,640.85 ",$156.87 ,$134.85 ,"$2,416,485.67 ",$156.79 ,$134.85 ,"$1,155.18 ",$0.07 ,$0.00 
201137,2019,17,Carlton,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,92,Hospital Inpatient,"1,862",151,"1,039","$1,044,601.62 ","$6,917.89 ","$4,310.05 ","$1,040,291.22 ","$6,889.35 ","$4,310.05 ","$4,310.40 ",$28.55 ,$0.00 
202073,2019,21,Cass,MEDICARE,3,45 - 64 years,F,162,Other,"1,367",647,"1,874","$91,655.57 ",$141.66 ,$78.45 ,"$73,860.36 ",$114.16 ,$61.11 ,"$17,795.21 ",$27.50 ,$9.79 
202889,2019,25,Chisago,MEDICARE,5,75 years and older,F,30,Outpatient Other,"3,603",475,352,"$228,084.96 ",$480.18 ,$120.94 ,"$194,002.93 ",$408.43 ,$119.01 ,"$34,082.03 ",$71.75 ,$0.00 
203897,2019,31,Cook,MEDICARE,4,65 - 74 years,F,34,DME (Durable Medical Equipment),286,154,403,"$11,621.52 ",$75.46 ,$51.74 ,"$9,334.59 ",$60.61 ,$43.11 ,"$2,286.93 ",$14.85 ,$8.99 
204833,2019,37,Dakota,COMMERCIAL,5,75 years and older,F,670,Clinic/Office,"20,172","8,731","7,845","$736,115.15 ",$84.31 ,$25.10 ,"$597,969.77 ",$68.49 ,$12.56 ,"$138,145.38 ",$15.82 ,$10.00 
205529,2019,41,Douglas,COMMERCIAL,3,45 - 64 years,F,58,Ambulatory Surgery,452,106,672,"$373,216.28 ","$3,520.91 ","$1,396.06 ","$299,307.70 ","$2,823.66 ",$816.47 ,"$73,908.58 ",$697.25 ,$0.00 
206369,2019,45,Fillmore,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,214,Other,"17,756","10,300","2,432","$1,787,749.99 ",$173.57 ,$137.15 ,"$1,786,775.01 ",$173.47 ,$136.80 ,$974.98 ,$0.09 ,$0.00 
207233,2019,49,Goodhue,MEDICARE,3,45 - 64 years,F,19,Ambulatory Surgery,151,36,224,"$107,878.46 ","$2,996.62 ",$547.02 ,"$93,786.14 ","$2,605.17 ",$496.16 ,"$14,092.32 ",$391.45 ,$82.46 
208001,2019,53,Hennepin,MEDICARE,2,19 - 44 years,M,194,Ambulance,991,424,"2,284","$192,822.03 ",$454.77 ,$470.05 ,"$152,902.00 ",$360.62 ,$374.51 ,"$39,920.03 ",$94.15 ,$96.44 
209105,2019,59,Isanti,MINNESOTA HEALTH CARE PROGRAMS,5,75 years and older,M,22,Other,"3,696","3,068",245,"$349,139.42 ",$113.80 ,$115.42 ,"$348,966.62 ",$113.74 ,$115.42 ,$172.80 ,$0.06 ,$0.00 
209777,2019,63,Jackson,MINNESOTA HEALTH CARE PROGRAMS,3,45 - 64 years,F,160,Hospital Outpatient,"5,039","1,129","1,744","$460,913.69 ",$408.25 ,$111.79 ,"$458,569.48 ",$406.17 ,$111.29 ,"$2,344.21 ",$2.08 ,$0.00 
210689,2019,67,Kandiyohi,MEDICARE,5,75 years and older,F,232,Independent Lab,"1,329",424,"2,735","$56,996.00 ",$134.42 ,$31.76 ,"$56,077.12 ",$132.26 ,$31.76 ,$918.88 ,$2.17 ,$0.00 
198556,2019,3,Anoka,MEDICARE,2,19 - 44 years,F,52,Ambulatory Surgery,525,91,622,"$238,881.51 ","$2,625.07 ",$807.09 ,"$200,155.96 ","$2,199.52 ",$724.02 ,"$38,725.55 ",$425.56 ,$156.04 
